ID,Q1,Q2,Q6,Q7,Q8,Q3,Italiano,Ingles,Porto,Catal,Fran,Chin,Japo,Corr,Otro
71,Puerto Bolívar,20-40,a veces,quizás,después de escuela,hago deberes,x,,x,,,,,,
72,Machala,40-60,a veces,probablemente,después de escuela,hago deberes,,x,x,,,,,,
73,Machala,1-20,a veces,quizás,después de escuela,hago deberes,x,,,,,,,,
74,Machala,1-20,a veces,quizás,después de escuela,hago deberes,,x,,,,,,,
75,El Cambio,40-60,a veces,quizás,después de escuela,"hago deberes, social",,x,,,x,,,,
76,El Guabo,20-40,a veces,definitivamente,después de escuela,hago deberes,,x,,,,,x,,
77,Machala,1-20,nunca,quizás,después de escuela,hago deberes,,,,,x,,,,
78,Machala,1-20,mucho,definitivamente,después de escuela,"hago deberes, cuidar familia",x,x,,,x,,,,
79,Machala,1-20,a veces,probablemente,después de escuela,"hago deberes, actividades ec, social",,x,,,,,,,
80,Machala,1-20,a veces,definitivamente,después de escuela,"hago deberes, dormir",,x,x,,,,,,
81,Machala,1-20,mucho,definitivamente,después de escuela,hago deberes,,x,,,x,,,,
82,Puerto Bolívar,20-40,a veces,quizás,después de escuela,"hago deberes, hago deportes",x,,,,x,,,,
83,Machala,1-20,mucho,definitivamente,después de escuela,hago deberes,,x,,,,,,,
84,Machala,1-20,mucho,quizás,después de escuela,"hago deberes, actividades ec",,x,,,x,,,,
85,Machala,1-20,a veces,quizás,después de escuela,"hago deberes, hago deportes",,x,,,x,,,,
86,Machala,20-40,a veces,probablemente,después de escuela,hago deberes,x,,,,,,,,
